id,carat,cut,color,clarity,depth,table,x,y,z
7710,0.9,Very Good,H,VVS1,62.1,59.0,6.17,6.19,3.84
7711,2.05,Premium,D,SI1,60.4,58.0,8.26,8.16,4.96
7712,0.36,Premium,E,VS1,60.4,58.0,4.67,4.64,2.81
7713,0.38,Premium,E,VS1,60.7,59.0,4.73,4.69,2.86
7714,0.7,Premium,H,SI2,60.5,61.0,5.75,5.72,3.47
7715,1.27,Ideal,G,SI2,58.8,56.0,7.16,7.06,4.18
7716,1.0,Good,E,SI1,60.4,61.0,6.37,6.44,3.87
7717,0.38,Premium,F,VVS1,61.6,58.0,4.63,4.66,2.86
7718,0.32,Ideal,G,VVS2,62.0,56.0,4.41,4.43,2.74
7719,0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81
7720,0.77,Ideal,D,VS1,62.2,55.0,5.85,5.88,3.65
7721,0.32,Premium,G,VS2,61.5,58.0,4.35,4.4,2.69
7722,0.3,Very Good,D,VS2,62.5,59.0,4.23,4.28,2.66
7723,0.71,Fair,H,VS2,62.1,70.0,5.67,5.6,3.5
7724,0.36,Very Good,H,SI2,61.2,55.0,4.59,4.62,2.81
7725,0.93,Good,D,SI2,64.5,58.0,6.11,6.14,3.95
7726,0.34,Ideal,F,VVS2,59.1,57.0,4.66,4.61,2.74
7727,1.26,Ideal,I,SI1,62.6,57.0,6.89,6.92,4.32
7728,0.36,Ideal,E,VS1,60.9,57.0,4.6,4.63,2.81
7729,1.04,Premium,H,SI1,60.0,58.0,6.59,6.52,3.93
7730,2.02,Premium,G,SI2,61.0,58.0,8.15,8.22,4.99
7731,0.77,Ideal,D,SI1,62.6,57.0,5.81,5.92,3.67
7732,0.3,Good,H,SI1,63.4,60.0,4.23,4.25,2.69
7733,0.9,Very Good,H,SI1,61.0,59.0,6.11,6.16,3.74
7734,0.71,Ideal,E,SI2,61.7,57.0,5.72,5.76,3.54
7735,0.41,Premium,E,SI1,60.5,61.0,4.8,4.78,2.9
7736,1.53,Ideal,H,SI2,61.9,57.0,7.42,7.34,4.57
7737,0.51,Ideal,H,SI1,63.0,57.0,5.14,5.11,3.23
7738,0.37,Ideal,E,VS2,61.0,56.0,4.64,4.67,2.84
7739,2.21,Very Good,F,SI2,61.0,58.0,8.36,8.43,5.12
7740,1.13,Very Good,D,VVS2,61.5,58.0,6.64,6.67,4.09
7741,1.51,Very Good,G,SI1,61.5,54.0,7.35,7.42,4.54
7742,1.52,Premium,D,SI2,58.6,62.0,7.56,7.45,4.41
7743,1.21,Very Good,H,SI1,62.2,56.0,6.75,6.79,4.21
7744,0.3,Premium,D,SI1,62.3,58.0,4.28,4.32,2.68
7745,1.01,Premium,G,VS1,60.8,58.0,6.44,6.51,3.94
7746,0.71,Good,J,VS1,63.3,55.0,5.62,5.66,3.57
7747,1.56,Ideal,G,SI1,61.2,56.0,7.49,7.51,4.59
7748,1.0,Premium,G,SI2,62.7,59.0,6.36,6.3,3.97
7749,1.41,Premium,F,SI2,62.7,56.0,7.21,7.15,4.5
7750,0.3,Ideal,F,VS2,61.9,56.0,4.32,4.34,2.68
7751,2.03,Ideal,J,SI2,63.2,55.0,7.99,8.03,5.06
7752,0.5,Good,D,SI2,58.5,64.0,5.2,5.12,3.02
7753,0.91,Very Good,I,SI2,63.4,58.0,6.08,6.12,3.87
7754,0.9,Ideal,F,I1,61.8,57.0,6.13,6.2,3.81
7755,0.4,Ideal,F,SI1,61.6,55.0,4.72,4.76,2.92
7756,1.42,Ideal,G,VS2,62.6,57.0,7.19,7.15,4.49
7757,1.08,Premium,E,SI2,60.8,59.0,6.57,6.62,4.01
7758,0.51,Premium,I,VS2,62.9,55.0,5.12,5.08,3.21
7759,0.54,Ideal,F,SI1,60.5,57.0,5.25,5.27,3.18
7760,2.29,Fair,J,VS2,57.0,66.0,8.8,8.6,4.98
7761,0.3,Very Good,G,VS1,62.0,60.0,4.27,4.31,2.66
7762,0.61,Very Good,E,SI1,63.3,60.0,5.36,5.29,3.37
7763,1.09,Very Good,I,SI2,62.5,57.0,6.56,6.58,4.11
7764,0.33,Ideal,F,VVS1,61.3,55.0,4.46,4.48,2.74
7765,0.3,Ideal,H,VS2,61.8,58.0,4.26,4.28,2.64
7766,1.37,Premium,H,VS2,62.5,59.0,7.12,7.05,4.43
7767,0.3,Ideal,G,VVS1,61.7,55.0,4.34,4.32,2.67
7768,0.31,Ideal,D,SI1,61.4,55.0,4.35,4.38,2.68
7769,0.38,Ideal,F,VVS2,60.9,58.0,4.66,4.7,2.85
7770,0.72,Ideal,F,VS2,60.3,56.0,5.84,5.81,3.51
7771,0.71,Fair,F,IF,58.7,62.0,5.87,5.81,3.43
7772,0.62,Ideal,H,VVS2,62.0,56.0,5.46,5.48,3.39
7773,0.58,Ideal,F,VS2,60.6,55.0,5.4,5.43,3.28
7774,1.2,Premium,G,IF,59.4,61.0,6.95,6.92,4.12
7775,0.3,Premium,J,VS1,62.7,59.0,4.28,4.24,2.67
7776,0.42,Premium,F,VS1,61.9,55.0,4.82,4.78,2.97
7777,0.71,Very Good,I,VS1,59.0,57.0,5.85,5.88,3.46
7778,0.4,Very Good,E,VVS2,63.7,59.0,4.66,4.69,2.98
7779,0.3,Ideal,F,VS2,61.6,57.0,4.33,4.3,2.66
7780,0.3,Premium,E,SI1,61.7,56.0,4.29,4.27,2.64
7781,1.52,Premium,H,SI2,60.7,60.0,7.55,7.32,4.5
7782,0.79,Ideal,E,VS2,59.3,57.0,6.06,6.02,3.58
7783,1.06,Ideal,H,VS2,62.5,57.0,6.49,6.47,4.05
7784,1.58,Ideal,F,VS2,60.0,57.0,7.58,7.52,4.53
7785,0.56,Premium,D,SI1,60.6,59.0,5.34,5.36,3.24
7786,1.2,Very Good,G,VS2,63.3,58.0,6.74,6.66,4.24
7787,1.26,Ideal,E,SI1,61.5,59.0,6.92,6.96,4.27
7788,0.31,Very Good,E,IF,58.1,60.0,4.45,4.5,2.6
7789,2.09,Premium,H,SI2,60.6,59.0,8.27,8.22,5.0
7790,0.32,Ideal,D,VS2,61.5,55.0,4.43,4.45,2.73
7791,1.11,Ideal,G,VS1,62.6,57.0,6.64,6.59,4.14
7792,0.32,Ideal,F,VVS1,61.5,56.0,4.41,4.43,2.72
7793,0.27,Ideal,I,VS1,62.2,55.0,4.15,4.18,2.59
7794,0.52,Ideal,G,VVS2,59.8,57.0,5.26,5.24,3.14
7795,0.4,Ideal,I,VVS2,61.4,56.0,4.76,4.79,2.93
7796,0.8,Very Good,J,VS1,62.7,58.0,5.91,5.95,3.72
7797,1.01,Ideal,D,SI2,61.3,54.0,6.52,6.47,3.99
7798,2.01,Premium,H,SI2,62.3,58.0,8.11,8.06,5.04
7799,0.34,Ideal,G,VS2,60.8,56.0,4.53,4.55,2.76
7800,1.39,Premium,F,SI1,62.4,59.0,7.14,7.09,4.44
7801,2.0,Premium,F,SI2,60.6,62.0,8.19,7.84,4.86
7802,2.06,Premium,F,SI2,61.7,59.0,8.21,8.13,5.04
7803,0.99,Fair,J,I1,73.6,60.0,6.01,5.8,4.35
7804,0.32,Premium,D,SI1,60.9,60.0,4.41,4.39,2.68
7805,0.32,Ideal,G,VS1,63.0,55.0,4.38,4.35,2.75
7806,2.01,Good,J,VS1,63.7,59.0,7.93,7.86,5.03
7807,0.92,Ideal,I,VS1,62.3,55.0,6.24,6.28,3.9
7808,0.91,Premium,D,SI2,61.1,60.0,6.29,6.24,3.83
7809,0.4,Premium,D,VVS2,60.7,60.0,4.74,4.78,2.89
7810,0.52,Ideal,G,VVS2,61.0,56.0,5.18,5.24,3.18
7811,1.0,Fair,G,SI1,68.2,60.0,6.02,5.94,4.08
7812,1.64,Very Good,F,SI2,63.2,57.0,7.56,7.47,4.75
7813,1.12,Ideal,H,VS2,61.8,55.0,6.64,6.7,4.12
7814,2.28,Premium,J,VS2,62.4,58.0,8.45,8.35,5.24
7815,0.34,Premium,G,VS2,61.6,60.0,4.49,4.47,2.76
7816,0.33,Ideal,G,VVS1,61.5,56.0,4.46,4.45,2.74
7817,0.9,Very Good,F,SI2,62.0,61.0,6.14,6.16,3.81
7818,0.7,Good,F,SI1,59.7,64.0,5.71,5.74,3.42
7819,0.9,Very Good,G,VS2,58.5,59.0,6.35,6.36,3.72
7820,1.11,Ideal,F,VS2,61.6,57.0,6.65,6.67,4.1
7821,0.54,Ideal,F,SI1,59.8,57.0,5.31,5.29,3.17
7822,0.33,Premium,F,VS2,62.1,59.0,4.45,4.4,2.75
7823,0.32,Ideal,E,VS2,62.2,55.0,4.38,4.36,2.72
7824,0.78,Very Good,E,SI1,59.8,57.0,5.98,6.02,3.59
7825,2.01,Premium,D,SI2,59.1,60.0,8.31,8.21,4.88
7826,0.33,Very Good,H,SI2,63.5,57.0,4.39,4.36,2.78
7827,0.28,Ideal,F,VVS2,62.5,57.0,4.18,4.21,2.62
7828,1.01,Premium,F,SI2,62.4,58.0,6.41,6.37,3.99
7829,0.37,Ideal,G,SI1,61.0,56.0,4.61,4.68,2.84
7830,0.38,Ideal,D,SI1,61.8,55.0,4.67,4.69,2.89
7831,2.0,Good,F,SI1,63.0,61.0,7.85,7.99,4.99
7832,1.05,Premium,F,VS2,62.6,58.0,6.5,6.47,4.06
7833,2.02,Ideal,G,VS2,62.0,57.0,8.1,8.05,5.01
7834,1.15,Ideal,E,SI1,62.7,56.0,6.73,6.7,4.21
7835,0.6,Ideal,I,SI2,62.2,54.0,5.4,5.44,3.37
7836,0.57,Very Good,I,SI1,62.5,58.0,5.22,5.27,3.28
7837,1.09,Very Good,G,VS2,59.9,56.0,6.59,6.73,3.99
7838,1.01,Good,G,VS1,63.7,56.0,6.37,6.29,4.03
7839,0.72,Very Good,G,VS2,63.3,57.0,5.71,5.67,3.6
7840,1.09,Ideal,H,SI2,60.0,59.0,6.72,6.77,4.05
7841,1.0,Premium,F,VS2,62.4,60.0,6.35,6.38,3.97
7842,0.3,Ideal,H,VVS2,62.1,55.0,4.33,4.36,2.7
7843,0.55,Ideal,G,VS1,61.3,57.0,5.28,5.25,3.23
7844,0.27,Premium,E,VS1,61.5,58.0,4.17,4.22,2.58
7845,1.14,Premium,D,SI1,58.9,59.0,6.84,6.78,4.01
7846,0.32,Ideal,E,VS2,62.1,55.0,4.4,4.36,2.72
7847,0.31,Ideal,G,VVS1,62.2,55.0,4.33,4.38,2.71
7848,0.32,Very Good,J,VS2,62.9,56.0,4.37,4.4,2.76
7849,0.3,Ideal,D,VS1,61.6,54.0,4.34,4.36,2.68
7850,0.3,Very Good,D,SI1,58.8,63.0,4.35,4.32,2.55
7851,2.01,Good,G,SI2,63.6,59.0,7.95,8.0,5.07
7852,0.51,Ideal,F,VS2,62.5,53.0,5.12,5.15,3.21
7853,1.2,Very Good,H,VS1,63.1,57.0,6.69,6.65,4.2
7854,1.51,Very Good,E,SI2,62.8,59.0,7.24,7.31,4.57
7855,0.56,Ideal,E,VS2,61.4,57.0,5.35,5.31,3.27
7856,0.26,Very Good,G,VS2,61.7,57.0,4.11,4.15,2.55
7857,0.58,Ideal,D,VVS1,60.6,57.0,5.38,5.41,3.27
7858,0.75,Ideal,D,SI1,61.1,56.0,5.85,5.9,3.59
7859,0.54,Ideal,E,SI2,60.4,57.0,5.33,5.27,3.2
7860,0.3,Ideal,F,SI1,62.1,55.0,4.31,4.35,2.69
7861,1.15,Premium,E,SI2,62.5,58.0,6.65,6.72,4.18
7862,0.32,Very Good,G,VS2,63.1,57.0,4.35,4.3,2.73
7863,1.01,Good,J,SI1,63.6,54.0,6.44,6.36,4.07
7864,0.54,Ideal,H,SI1,61.0,56.0,5.24,5.28,3.21
7865,0.72,Ideal,G,SI2,61.4,56.0,5.76,5.83,3.56
7866,0.41,Ideal,G,VS1,61.4,55.0,4.8,4.78,2.94
7867,0.4,Ideal,F,VVS1,62.5,57.0,4.75,4.72,2.96
7868,1.02,Premium,D,VVS2,61.4,58.0,6.43,6.46,3.96
7869,0.38,Premium,I,SI2,60.0,59.0,4.71,4.69,2.82
7870,1.2,Ideal,G,VS1,62.3,56.0,6.82,6.77,4.23
7871,1.12,Premium,H,SI1,61.9,59.0,6.66,6.52,4.08
7872,0.62,Ideal,G,IF,62.2,54.0,5.46,5.51,3.41
7873,0.55,Ideal,F,VS2,60.9,56.0,5.3,5.34,3.24
7874,1.21,Very Good,F,VS2,61.6,58.0,6.79,6.88,4.21
7875,0.31,Good,H,VVS1,63.7,56.0,4.33,4.3,2.75
7876,0.34,Premium,I,VS2,61.8,58.0,4.51,4.48,2.78
7877,0.41,Ideal,F,VS2,62.6,57.0,4.76,4.79,2.99
7878,0.3,Premium,F,VVS2,61.6,58.0,4.28,4.35,2.66
7879,2.01,Ideal,H,SI2,62.5,53.9,8.04,8.07,5.04
7880,2.0,Good,H,SI1,63.3,59.0,7.96,8.03,5.06
7881,1.31,Premium,I,VS1,62.8,57.0,6.98,6.9,4.36
7882,1.5,Premium,I,VS1,62.7,59.0,7.3,7.25,4.56
7883,1.6,Ideal,G,VS1,62.0,57.0,7.47,7.43,4.62
7884,1.08,Ideal,H,SI2,59.3,57.0,6.71,6.74,3.99
7885,0.5,Good,E,VS2,59.8,57.0,5.12,5.18,3.08
7886,0.31,Very Good,D,SI1,63.4,55.0,4.3,4.28,2.72
7887,0.55,Ideal,I,VVS1,62.7,57.0,5.17,5.23,3.26
7888,1.0,Fair,E,SI2,63.0,58.0,6.35,6.26,3.97
7889,0.33,Very Good,E,VVS2,62.3,56.0,4.4,4.44,2.75
7890,1.75,Ideal,J,VS2,62.1,57.0,7.71,7.66,4.77
7891,0.74,Good,E,VS1,63.1,58.0,5.73,5.75,3.62
7892,0.53,Ideal,I,VVS2,60.9,56.0,5.26,5.3,3.21
7893,2.08,Premium,E,SI2,62.3,59.0,8.22,8.16,5.1
7894,0.5,Ideal,E,VS2,60.4,56.0,5.15,5.21,3.13
7895,0.32,Ideal,H,VVS2,61.8,55.0,4.42,4.38,2.72
7896,0.71,Premium,G,SI2,62.0,59.0,5.69,5.65,3.52
7897,0.77,Very Good,F,VS2,62.6,55.0,5.85,5.88,3.67
7898,2.01,Very Good,H,SI1,62.8,59.0,7.99,8.04,5.03
7899,0.3,Ideal,G,SI2,62.0,55.0,4.28,4.33,2.67
7900,0.48,Very Good,D,VVS2,59.5,57.0,5.16,5.12,3.06
7901,0.77,Fair,J,SI1,60.2,66.0,5.97,5.81,3.55
7902,0.4,Very Good,E,SI2,61.6,55.0,4.75,4.83,2.95
7903,0.58,Very Good,F,SI1,62.2,57.0,5.32,5.36,3.32
7904,0.58,Ideal,G,VVS2,61.9,57.0,5.33,5.36,3.31
7905,0.4,Ideal,G,SI2,62.1,55.0,4.73,4.74,2.94
7906,0.66,Very Good,E,SI2,61.3,57.2,5.59,5.66,3.45
7907,0.7,Very Good,F,SI1,62.7,57.0,5.63,5.67,3.54
7908,0.76,Ideal,H,VS2,61.4,57.0,5.85,5.88,3.6
7909,0.72,Ideal,G,VVS1,61.7,55.0,5.8,5.77,3.57
7910,0.76,Very Good,E,SI1,60.4,58.0,5.91,5.97,3.59
7911,0.33,Ideal,E,SI1,59.6,57.0,4.53,4.49,2.69
7912,0.26,Very Good,F,VS1,61.7,58.0,4.1,4.14,2.54
7913,1.08,Ideal,F,VS2,62.5,57.0,6.52,6.57,4.09
7914,0.36,Very Good,G,VS1,62.9,57.0,4.56,4.6,2.88
7915,0.9,Good,G,SI1,63.7,56.0,6.1,6.06,3.87
7916,2.52,Good,G,SI2,63.7,59.0,8.57,8.52,5.44
7917,0.41,Very Good,E,VS1,63.4,55.0,4.7,4.73,2.99
7918,0.37,Very Good,E,VVS2,59.3,58.0,4.68,4.73,2.79
7919,1.06,Premium,D,SI2,60.9,60.0,6.55,6.52,3.98
7920,1.11,Good,D,SI2,60.1,63.0,6.68,6.7,4.02
7921,1.01,Premium,D,VVS2,61.6,58.0,6.44,6.39,3.95
7922,0.24,Ideal,F,VVS1,61.8,59.0,4.0,4.03,2.48
7923,0.32,Ideal,G,IF,61.0,57.0,4.41,4.44,2.7
7924,0.7,Premium,E,SI1,61.2,57.0,5.73,5.68,3.49
7925,0.23,Very Good,E,VS2,62.4,60.0,3.9,3.92,2.44
7926,0.73,Premium,F,SI1,62.1,58.0,5.74,5.72,3.56
7927,0.4,Very Good,E,SI1,63.0,57.0,4.68,4.71,2.96
7928,0.31,Ideal,H,VS2,62.2,53.0,4.43,4.38,2.74
7929,1.2,Good,I,SI1,64.4,61.0,6.52,6.59,4.22
7930,1.52,Very Good,H,SI1,62.5,59.0,7.26,7.37,4.57
7931,0.51,Very Good,H,VS1,63.4,57.0,5.09,5.06,3.22
7932,0.71,Premium,F,VS1,61.8,59.0,5.73,5.69,3.53
7933,0.73,Very Good,H,VVS1,60.4,59.0,5.83,5.89,3.54
7934,1.61,Premium,H,SI2,61.4,62.0,7.54,7.48,4.62
7935,1.0,Ideal,D,SI1,63.0,56.0,6.33,6.28,3.97
7936,0.55,Good,F,VS1,59.5,62.0,5.3,5.35,3.17
7937,1.01,Very Good,H,SI1,61.2,60.0,6.41,6.44,3.93
7938,0.31,Ideal,E,VS2,62.0,56.0,4.38,4.36,2.71
7939,0.52,Premium,D,SI2,61.7,56.0,5.17,5.14,3.18
7940,1.3,Ideal,G,VS2,61.9,55.0,7.04,7.01,4.35
7941,0.71,Very Good,I,VS1,63.3,56.0,5.69,5.65,3.59
7942,2.26,Premium,H,SI2,61.1,57.0,8.45,8.4,5.15
7943,0.3,Ideal,F,IF,61.8,55.0,4.32,4.35,2.68
7944,0.52,Very Good,F,SI1,63.7,58.0,5.11,5.13,3.26
7945,0.91,Premium,G,SI2,61.3,60.0,6.2,6.17,3.79
7946,1.2,Premium,G,VS2,61.4,60.0,6.77,6.81,4.17
7947,0.31,Ideal,D,VS2,61.6,55.0,4.37,4.36,2.69
7948,0.57,Very Good,E,VS1,62.9,56.0,5.31,5.35,3.35
7949,0.4,Good,H,VS2,59.4,64.0,4.82,4.75,2.84
7950,1.2,Ideal,G,SI1,61.2,56.0,6.92,6.84,4.21
7951,1.27,Very Good,H,SI2,63.1,57.0,6.88,6.84,4.33
7952,0.32,Ideal,G,VS1,61.3,57.0,4.4,4.37,2.69
7953,1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77
7954,0.32,Ideal,G,SI1,61.3,56.0,4.42,4.39,2.7
7955,1.08,Ideal,D,SI2,60.2,57.0,6.63,6.67,4.0
7956,1.01,Premium,E,SI2,60.6,58.0,6.53,6.47,3.94
7957,0.53,Good,D,SI2,63.9,55.0,5.1,5.14,3.27
7958,0.25,Very Good,F,VVS1,62.2,56.0,4.02,4.03,2.5
7959,0.9,Very Good,I,VS2,63.0,60.0,6.15,6.17,3.88
7960,0.32,Premium,G,VS2,61.0,59.0,4.46,4.42,2.71
7961,0.65,Ideal,E,VS2,62.0,56.0,5.6,5.57,3.46
7962,0.32,Ideal,F,VVS1,62.0,56.0,4.37,4.41,2.72
7963,0.4,Very Good,E,SI2,58.7,57.0,4.88,4.94,2.88
7964,0.7,Ideal,F,VS2,62.7,55.0,5.66,5.69,3.56
7965,1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56
7966,0.32,Very Good,G,VVS2,64.0,55.0,4.31,4.35,2.77
7967,1.51,Good,H,VS2,64.0,59.0,7.19,7.25,4.62
7968,0.7,Ideal,I,SI1,62.5,55.0,5.68,5.71,3.56
7969,0.41,Ideal,E,VS1,60.5,58.0,4.81,4.85,2.92
7970,1.16,Ideal,G,VVS1,62.0,57.0,6.72,6.74,4.17
7971,2.03,Premium,I,SI2,62.8,59.0,8.08,8.04,5.06
7972,1.24,Ideal,G,VS2,62.0,56.0,6.87,6.9,4.27
7973,1.0,Premium,G,SI1,62.5,59.0,6.35,6.29,3.95
7974,1.06,Very Good,J,SI2,62.0,58.0,6.45,6.53,4.04
7975,0.73,Ideal,F,VVS1,61.1,56.0,5.83,5.86,3.57
7976,1.66,Ideal,H,VS2,60.1,59.0,7.67,7.64,4.6
7977,1.0,Very Good,E,SI2,59.5,63.0,6.41,6.47,3.83
7978,0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87
7979,0.42,Ideal,D,VVS1,61.6,56.0,4.82,4.79,2.96
7980,1.12,Ideal,F,VVS2,62.2,55.0,6.64,6.68,4.14
7981,1.51,Premium,E,I1,59.0,62.0,7.41,7.36,4.36
7982,0.23,Ideal,F,VVS2,62.0,56.0,3.92,3.98,2.45
7983,0.7,Ideal,F,VS2,62.3,55.0,5.71,5.65,3.54
7984,1.01,Good,H,VS2,63.5,61.0,6.24,6.32,3.99
7985,0.73,Ideal,F,SI1,59.6,57.0,5.88,5.86,3.5
7986,1.57,Premium,H,VS2,62.2,58.0,7.45,7.4,4.62
7987,1.2,Very Good,E,VS1,59.4,56.0,6.94,7.0,4.14
7988,0.46,Very Good,E,VS2,58.9,59.4,5.05,5.1,2.99
7989,0.78,Ideal,E,SI1,60.4,57.0,5.95,6.0,3.61
7990,1.03,Premium,D,SI2,61.8,60.0,6.45,6.42,3.98
7991,0.3,Ideal,F,VVS2,62.2,55.0,4.29,4.33,2.68
7992,0.47,Ideal,H,VS2,62.7,55.0,5.08,4.95,3.15
7993,0.9,Premium,G,SI2,62.8,61.0,6.14,6.09,3.84
7994,0.79,Ideal,F,SI1,62.8,56.0,5.88,5.9,3.7
7995,0.58,Premium,E,VS1,60.7,58.0,5.41,5.36,3.27
7996,1.18,Ideal,E,VVS2,61.6,58.0,6.78,6.82,4.19
7997,0.7,Premium,F,VS2,62.6,61.0,5.66,5.61,3.53
7998,0.4,Ideal,D,SI1,59.6,57.0,4.82,4.77,2.86
7999,1.57,Premium,E,VS1,61.4,58.0,7.44,7.48,4.58
8000,1.03,Ideal,F,SI2,61.9,56.0,6.53,6.49,4.03
8001,0.62,Ideal,I,SI2,62.5,55.0,5.45,5.49,3.42
8002,1.02,Ideal,D,SI1,62.2,56.0,6.43,6.47,4.0
8003,0.9,Good,E,SI1,62.4,62.0,6.13,6.17,3.84
8004,0.51,Ideal,F,VS2,61.6,57.0,5.14,5.15,3.17
8005,1.02,Premium,D,I1,61.4,60.0,6.42,6.47,3.96
8006,0.43,Premium,D,SI2,62.6,58.0,4.82,4.79,3.01
8007,0.23,Very Good,E,VVS2,62.3,55.0,3.9,3.93,2.44
8008,1.09,Ideal,H,SI2,61.5,55.0,6.65,6.68,4.1
8009,0.36,Ideal,E,SI1,62.1,56.0,4.56,4.59,2.84
8010,1.52,Ideal,F,SI1,62.2,56.0,7.41,7.31,4.58
8011,1.1,Premium,G,VS2,59.4,60.0,6.78,6.72,4.01
8012,0.4,Premium,F,VVS1,60.8,59.0,4.76,4.74,2.89
8013,0.3,Very Good,G,VS2,61.4,54.0,4.31,4.36,2.66
8014,1.72,Premium,F,I1,60.5,59.0,7.8,7.71,4.69
8015,1.71,Good,F,SI2,63.7,54.0,7.6,7.49,4.81
8016,1.1,Ideal,J,SI1,62.2,55.0,6.62,6.65,4.13
8017,0.42,Very Good,D,VS1,60.6,58.0,4.87,4.9,2.96
8018,0.7,Good,H,VS2,62.2,61.6,5.63,5.66,3.51
8019,0.55,Ideal,H,VS2,62.0,55.0,5.31,5.28,3.28
8020,0.31,Ideal,H,VVS2,62.4,57.0,4.36,4.32,2.71
8021,0.26,Ideal,E,VVS1,61.7,56.0,4.09,4.11,2.53
8022,0.7,Ideal,E,SI2,60.6,56.0,5.73,5.78,3.49
8023,1.13,Ideal,E,I1,62.0,55.0,6.66,6.7,4.14
8024,0.72,Ideal,D,VS2,62.1,57.0,5.69,5.75,3.55
8025,1.53,Ideal,F,SI1,62.5,57.0,7.38,7.31,4.59
8026,0.9,Ideal,G,VS2,61.7,56.0,6.19,6.26,3.84
8027,0.34,Ideal,E,VVS1,61.8,57.0,4.47,4.5,2.77
8028,0.38,Ideal,G,SI2,61.7,56.0,4.64,4.67,2.87
8029,1.01,Very Good,H,VS2,59.7,64.0,6.45,6.48,3.86
8030,1.5,Good,G,SI2,57.9,61.0,7.47,7.51,4.34
8031,0.4,Ideal,D,VS2,62.8,56.0,4.66,4.7,2.94
8032,1.59,Ideal,G,VVS2,62.6,55.0,7.47,7.44,4.67
8033,1.5,Ideal,H,SI1,62.0,55.0,7.29,7.34,4.54
8034,1.0,Good,G,VS2,63.4,61.0,6.23,6.29,3.97
8035,1.02,Premium,F,SI2,61.1,62.0,6.54,6.49,3.98
8036,0.7,Ideal,F,SI1,60.3,58.0,5.76,5.81,3.49
8037,0.75,Ideal,F,SI1,61.2,55.0,5.87,5.92,3.61
8038,2.0,Fair,G,VS2,67.6,58.0,7.65,7.61,5.16
8039,1.31,Ideal,G,VS2,61.9,56.0,7.05,7.08,4.37
8040,1.0,Good,H,SI1,63.7,55.0,6.33,6.29,4.02
8041,1.03,Very Good,G,SI1,63.1,58.0,6.41,6.37,4.03
8042,0.26,Ideal,H,VS1,61.8,56.0,4.12,4.14,2.55
8043,0.5,Good,E,SI1,63.7,59.0,5.07,5.01,3.21
8044,0.39,Premium,G,SI2,62.7,54.0,4.71,4.64,2.93
8045,0.51,Ideal,F,VS1,61.7,55.0,5.14,5.17,3.18
8046,1.1,Ideal,G,VS1,61.5,57.0,6.65,6.62,4.08
8047,0.48,Good,G,SI1,64.7,58.0,4.84,4.93,3.16
8048,1.8,Very Good,I,SI2,63.2,58.0,7.75,7.66,4.87
8049,0.51,Good,F,SI1,63.8,56.0,5.08,5.04,3.23
8050,0.76,Ideal,J,VS2,61.8,54.0,5.87,5.91,3.64
8051,0.36,Ideal,E,VS2,60.7,56.0,4.63,4.65,2.82
8052,1.15,Very Good,J,VS2,62.9,57.0,6.73,6.63,4.2
8053,0.76,Premium,H,VVS1,60.7,58.0,5.9,5.93,3.59
8054,0.71,Very Good,I,VS1,63.1,57.0,5.68,5.58,3.55
8055,0.6,Ideal,E,VS2,62.0,56.0,5.4,5.43,3.36
8056,0.7,Fair,F,I1,66.5,62.0,5.54,5.49,3.67
8057,1.14,Ideal,G,VS2,61.5,57.0,6.72,6.68,4.12
8058,1.54,Ideal,G,VS2,60.8,57.0,7.44,7.46,4.53
8059,0.32,Ideal,H,VVS1,62.0,54.0,4.39,4.42,2.73
8060,1.51,Premium,J,VVS2,62.6,59.0,7.33,7.31,4.58
8061,0.32,Very Good,H,VVS2,62.4,56.0,4.35,4.37,2.72
8062,1.25,Good,F,SI2,59.0,61.0,7.01,7.06,4.15
8063,0.9,Fair,D,VS2,57.5,66.0,6.3,6.25,3.61
8064,0.93,Ideal,H,SI1,62.0,55.0,6.32,6.29,3.91
8065,1.07,Very Good,D,SI2,62.6,61.0,6.42,6.49,4.04
8066,0.33,Ideal,E,VS2,62.3,56.0,4.46,4.47,2.78
8067,1.0,Good,E,SI2,61.0,61.0,6.37,6.44,3.91
8068,0.75,Premium,E,SI1,59.8,60.0,5.9,5.84,3.51
8069,0.5,Premium,D,VS2,61.4,59.0,5.15,5.11,3.15
8070,0.44,Ideal,H,VVS1,61.1,57.0,4.87,4.92,2.99
8071,0.3,Ideal,G,VS1,61.1,56.0,4.36,4.35,2.66
8072,0.81,Ideal,J,SI2,62.2,57.0,5.95,5.92,3.69
8073,0.7,Ideal,F,VS2,61.9,55.0,5.7,5.74,3.54
8074,0.37,Very Good,G,VS2,61.2,57.0,4.59,4.63,2.82
8075,1.25,Good,I,SI2,63.3,55.8,6.83,6.87,4.34
8076,0.98,Premium,I,I1,59.6,60.0,6.43,6.3,3.79
8077,1.2,Ideal,I,VS2,61.5,57.0,6.8,6.75,4.17
8078,0.33,Very Good,H,VS2,62.2,57.0,4.42,4.46,2.76
8079,1.04,Very Good,I,SI1,64.1,57.0,6.35,6.38,4.08
8080,1.52,Premium,J,VVS2,58.3,62.0,7.61,7.49,4.4
